ad_type_name,area,price,address,property_legal_document,rooms,toilets
Phòng trọ,84,4500000,Hà Nội,,,
Căn hộ/Chung cư,123,5150000000,Hà Nội,6.0,2.0,2.0
Căn hộ/Chung cư,74,15500000,Hà Nội,4.0,3.0,3.0
Căn hộ/Chung cư,121,6500000,Hà Nội,6.0,2.0,2.0
Nhà ở,121,31000000000,Hà Nội,1.0,1.0,1.0
Phòng trọ,84,3500000,Hà Nội,,,
Nhà ở,80,8500000000,Hà Nội,1.0,6.0,
Nhà ở,79,30000000,Hà Nội,1.0,6.0,4.0
Nhà ở,121,14890000000,Hà Nội,1.0,11.0,
Căn hộ/Chung cư,76,4550000000,Hà Nội,6.0,3.0,2.0
Nhà ở,76,13800000000,Hà Nội,1.0,4.0,5.0
Nhà ở,78,18400000000,Hà Nội,1.0,1.0,1.0
Nhà ở,121,6680000000,Hà Nội,1.0,2.0,
"Văn phòng, Mặt bằng kinh doanh",80,17000000,Hà Nội,1.0,,
Căn hộ/Chung cư,76,10600000000,Hà Nội,6.0,2.0,2.0
Nhà ở,84,8700000000,Ngọc Hồi,1.0,4.0,4.0
Căn hộ/Chung cư,78,4950000,Hà Nội,5.0,1.0,1.0
Nhà ở,84,8500000000,Vĩnh Quỳnh,1.0,4.0,4.0
Nhà ở,75,50000000000,Hà Nội,1.0,4.0,6.0
Nhà ở,75,8000000000,Hà Nội,1.0,3.0,
Nhà ở,81,11000000000,Hà Nội,1.0,3.0,5.0
Nhà ở,80,6000000000,Hà Nội,1.0,3.0,3.0
Căn hộ/Chung cư,78,12000000,Hà Nội,4.0,1.0,1.0
Nhà ở,75,43500000000,Hà Nội,1.0,10.0,
Nhà ở,75,8300000000,Hà Nội,1.0,3.0,4.0
Nhà ở,80,48600000000,Hà Nội,1.0,5.0,4.0
Nhà ở,75,20000000000,Hà Nội,1.0,5.0,5.0
Nhà ở,75,14200000000,Hà Nội,1.0,4.0,4.0
Nhà ở,77,11600000000,Hà Nội,1.0,5.0,4.0
Nhà ở,75,18980000000,Hà Nội,1.0,3.0,4.0
Nhà ở,78,7800000000,Hà Nội,1.0,3.0,4.0
Nhà ở,84,6350000000,Hà Nội,1.0,5.0,4.0
Nhà ở,80,9500000000,Hà Nội,1.0,4.0,
Nhà ở,80,8000000000,Hà Nội,1.0,6.0,6.0
Căn hộ/Chung cư,121,9100000000,"Số 29 đường Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, TP Hà Nội",6.0,3.0,3.0
Đất,83,4700000000,Hà Nội,1.0,,
Căn hộ/Chung cư,78,9000000,Hà Nội,4.0,1.0,2.0
Nhà ở,76,8600000000,Hà Nội,1.0,3.0,
Nhà ở,77,10300000000,Hà Nội,1.0,4.0,
Phòng trọ,86,3000000,Hà Nội,,,
Đất,87,900000000,Hà Nội,1.0,,
Căn hộ/Chung cư,73,9500000,Hà Nội,4.0,1.0,1.0
Nhà ở,74,8500000000,Hà Nội,1.0,3.0,
Căn hộ/Chung cư,79,6500000000,Hà Nội,6.0,2.0,2.0
Nhà ở,76,8800000000,Hà Nội,1.0,3.0,
Nhà ở,81,7980000000,Hà Nội,1.0,3.0,
Nhà ở,80,5250000000,Hà Nội,1.0,4.0,3.0
Nhà ở,86,7000000000,Hà Nội,1.0,3.0,4.0
Nhà ở,77,12000000000,Hà Nội,1.0,4.0,
Căn hộ/Chung cư,86,3950000,Hà Nội,5.0,1.0,1.0
Nhà ở,80,3190000000,Hà Nội,1.0,2.0,
Nhà ở,86,8900000000,Hà Nội,1.0,6.0,4.0
Căn hộ/Chung cư,75,1680000000,Hà Nội,5.0,1.0,1.0
Nhà ở,80,7680000000,Hà Nội,1.0,3.0,4.0
Nhà ở,74,11000000000,Hà Nội,1.0,4.0,
Nhà ở,86,17000000000,Hà Nội,1.0,4.0,3.0
Phòng trọ,81,3000000,Hà Nội,,,
Căn hộ/Chung cư,78,6000000,Hà Nội,4.0,1.0,1.0
Nhà ở,78,9900000000,Hà Nội,1.0,3.0,4.0
Nhà ở,76,6250000000,Hà Nội,1.0,3.0,3.0
Nhà ở,76,6250000000,Hà Nội,1.0,3.0,3.0
Nhà ở,80,6000000000,Hà Nội,1.0,3.0,4.0
Nhà ở,74,12500000,Hà Nội,1.0,3.0,4.0
Nhà ở,81,8150000000,Hà Nội,1.0,4.0,
Nhà ở,77,16700000000,Hà Nội,1.0,5.0,6.0
Căn hộ/Chung cư,78,6150000,Hà Nội,5.0,1.0,1.0
Nhà ở,75,9600000000,Hà Nội,1.0,4.0,3.0
"Văn phòng, Mặt bằng kinh doanh",76,15000000,Hà Nội,1.0,,
Nhà ở,80,5500000000,Hà Nội,1.0,6.0,4.0
Căn hộ/Chung cư,78,4000000,Hà Nội,4.0,1.0,1.0
Phòng trọ,80,4300000,Hà Nội,,,
Đất,82,8730000000,Hà Nội,1.0,,
Nhà ở,74,24500000000,Hà Nội,1.0,6.0,7.0
Đất,82,13800000000,Hà Nội,1.0,,
Nhà ở,73,4300000000,Hà Nội,1.0,2.0,
Nhà ở,81,6400000000,Hà Nội,1.0,5.0,
Căn hộ/Chung cư,129,4250000,Hà Nội,5.0,1.0,1.0
"Văn phòng, Mặt bằng kinh doanh",80,22000000,Hà Nội,1.0,,
Phòng trọ,121,6000000,Hà Nội,,,
Nhà ở,121,7850000000,Hà Nội,1.0,3.0,3.0
Nhà ở,81,5050000000,Hà Nội,1.0,3.0,
Nhà ở,76,10500000000,Hà Nội,1.0,2.0,3.0
Căn hộ/Chung cư,76,3930000000,Hà Nội,6.0,2.0,1.0
Căn hộ/Chung cư,76,5400000000,Hà Nội,6.0,3.0,
Nhà ở,121,9600000000,Hà Nội,1.0,4.0,
Nhà ở,78,62000000,Hà Nội,1.0,6.0,6.0
Nhà ở,74,14500000000,Hà Nội,1.0,4.0,
"Văn phòng, Mặt bằng kinh doanh",75,16000000,Hà Nội,1.0,,
"Văn phòng, Mặt bằng kinh doanh",74,25000000,Hà Nội,1.0,,
"Văn phòng, Mặt bằng kinh doanh",77,25000000,Hà Nội,1.0,,
"Văn phòng, Mặt bằng kinh doanh",77,55000000,Hà Nội,1.0,,
"Văn phòng, Mặt bằng kinh doanh",77,18000000,Hà Nội,1.0,,
"Văn phòng, Mặt bằng kinh doanh",75,11000000,Hà Nội,1.0,,
"Văn phòng, Mặt bằng kinh doanh",77,47000000,Hà Nội,1.0,,
Căn hộ/Chung cư,77,5750000000,Hà Nội,6.0,2.0,2.0
Nhà ở,121,5200000000,Hà Nội,1.0,3.0,4.0
"Văn phòng, Mặt bằng kinh doanh",80,16000000,Hà Nội,1.0,,
Nhà ở,79,15800000000,Hà Nội,1.0,3.0,4.0
Nhà ở,86,10500000000,Đường Vạn Phúc,1.0,6.0,
Nhà ở,74,19900000000,Hà Nội,1.0,6.0,7.0
Nhà ở,80,32000000000,Hà Nội,1.0,2.0,2.0
Căn hộ/Chung cư,79,4500000000,Hà Nội,6.0,2.0,
Nhà ở,76,7500000000,Hà Nội,1.0,4.0,
Nhà ở,80,4500000000,Hà Nội,1.0,3.0,4.0
Đất,82,7300000000,Hà Nội,1.0,,
Đất,83,1900000000,Hà Nội,1.0,,
Căn hộ/Chung cư,80,4000000000,Hà Nội,6.0,3.0,1.0
Căn hộ/Chung cư,76,4680000000,Hà Nội,6.0,3.0,
Nhà ở,74,15500000000,Hà Nội,1.0,7.0,5.0
Nhà ở,81,6600000000,Hà Nội,1.0,4.0,
Nhà ở,80,15050000000,Hà Nội,1.0,3.0,5.0
"Văn phòng, Mặt bằng kinh doanh",75,7000000,Hà Nội,1.0,,
Nhà ở,76,13000000000,Hà Nội,1.0,3.0,5.0
