ad_type_name,area,price,address,property_legal_document,rooms,toilets
Nhà ở,74,7800000000,Hà Nội,đã có sổ,3.0,4.0
Căn hộ/Chung cư,129,6800000000,Hà Nội,sổ hồng riêng,3.0,2.0
Căn hộ/Chung cư,77,4500000,Hà Nội,sổ hồng riêng,1.0,1.0
Nhà ở,78,95000000000,Hà Nội,đã có sổ,8.0,7.0
Căn hộ/Chung cư,78,11000000,Hà Nội,không có sổ,2.0,1.0
Nhà ở,81,16500000000,Hà Nội,đã có sổ,5.0,5.0
Nhà ở,80,8350000000,Hà Nội,đã có sổ,3.0,4.0
Căn hộ/Chung cư,74,6500000,Hà Nội,không có sổ,1.0,1.0
Nhà ở,90,5600000000,Hà Nội,đã có sổ,5.0,3.0
Nhà ở,79,32500000000,Hà Nội,đã có sổ,5.0,4.0
Nhà ở,80,9500000,Hà Nội,đã có sổ,3.0,3.0
Nhà ở,121,6500000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,123,20000000,Hà Nội,đã có sổ,5.0,5.0
Nhà ở,78,12000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,75,8450000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,76,55500000000,Hà Nội,đã có sổ,2.0,2.0
Căn hộ/Chung cư,77,1350000000,Hà Nội,chưa rõ,1.0,1.0
Căn hộ/Chung cư,121,2600000000,Hà Nội,sổ hồng riêng,1.0,1.0
Nhà ở,81,8400000000,Hà Nội,đã có sổ,3.0,2.0
Nhà ở,75,21000000,Hà Nội,đã có sổ,5.0,4.0
Nhà ở,80,7200000000,Hà Nội,đã có sổ,4.0,2.0
Nhà ở,78,15500000000,Hà Nội,đã có sổ,4.0,6.0
Nhà ở,78,12500000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,74,17800000000,Hà Nội,đã có sổ,8.0,7.0
Nhà ở,79,5500000000,Hà Nội,đã có sổ,3.0,5.0
Nhà ở,129,9250000000,Hà Nội,đã có sổ,3.0,5.0
Nhà ở,129,18000000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,77,5750000000,Triều Khúc,đã có sổ,3.0,4.0
Nhà ở,77,9500000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,80,13500000,Hà Nội,đã có sổ,3.0,4.0
Căn hộ/Chung cư,80,12500000000,Hà Nội,sổ hồng riêng,9.0,7.0
Nhà ở,84,5850000000,Hà Nội,đã có sổ,4.0,4.0
Căn hộ/Chung cư,121,4000000,Hà Nội,sổ hồng riêng,1.0,1.0
Nhà ở,75,3000000,Hà Nội,đã có sổ,2.0,1.0
Căn hộ/Chung cư,76,16000000,Hà Nội,sổ hồng riêng,2.0,2.0
Căn hộ/Chung cư,86,2800000000,Hà Nội,chưa rõ,2.0,2.0
Nhà ở,75,6900000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,80,5250000000,Hà Nội,đã có sổ,4.0,3.0
Căn hộ/Chung cư,123,2470000000,Hà Nội,sổ hồng riêng,1.0,1.0
Nhà ở,75,4760000000,Hà Nội,đã có sổ,3.0,4.0
Căn hộ/Chung cư,76,3180000000,Hà Nội,sổ hồng riêng,2.0,2.0
Nhà ở,81,26800000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,76,20500000000,Hà Nội,đã có sổ,4.0,4.0
Căn hộ/Chung cư,80,1000000000,Hà Nội,sổ hồng riêng,2.0,2.0
Căn hộ/Chung cư,80,4250000000,Hà Nội,sổ hồng riêng,2.0,1.0
Nhà ở,81,13500000000,Hà Nội,đã có sổ,4.0,3.0
Căn hộ/Chung cư,123,3500000000,Hà Nội,sổ hồng riêng,2.0,1.0
Căn hộ/Chung cư,79,4700000000,Hà Nội,sổ hồng riêng,2.0,1.0
Căn hộ/Chung cư,121,4250000000,Hà Nội,sổ hồng riêng,2.0,2.0
Nhà ở,79,9800000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,81,13000000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,92,5200000000,Đê mới,đã có sổ,3.0,4.0
Căn hộ/Chung cư,79,8500000,Hà Nội,chưa rõ,2.0,1.0
Nhà ở,80,4860000000,Hà Nội,đang chờ sổ,3.0,3.0
Căn hộ/Chung cư,75,2000000000,Hà Nội,chưa rõ,1.0,1.0
Nhà ở,121,8600000000,Hà Nội,đã có sổ,11.0,6.0
Căn hộ/Chung cư,81,7700000000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,78,8700000000,Hà Nội,đã có sổ,4.0,4.0
Căn hộ/Chung cư,76,4350000000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,80,5000000000,Hà Nội,chưa rõ,4.0,4.0
Căn hộ/Chung cư,75,5400000,Hà Nội,không có sổ,1.0,1.0
Nhà ở,84,4500000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,121,6500000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,75,6600000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,86,6000000000,Hà Nội,đã có sổ,4.0,4.0
Căn hộ/Chung cư,74,7800000,Hà Nội,không có sổ,1.0,1.0
Nhà ở,121,42000000000,Hà Nội,đã có sổ,11.0,7.0
Nhà ở,79,25000000,Hà Nội,đã có sổ,4.0,5.0
Nhà ở,75,19200000000,Hà Nội,đã có sổ,6.0,5.0
Nhà ở,121,12000000000,Hà Nội,đã có sổ,2.0,2.0
Căn hộ/Chung cư,123,3070000000,Hà Nội,sổ hồng riêng,1.0,1.0
Căn hộ/Chung cư,121,9000000,Hà Nội,sổ hồng riêng,2.0,1.0
Căn hộ/Chung cư,121,8500000000,Hà Nội,sổ hồng riêng,3.0,3.0
Nhà ở,79,11000000000,Hà Nội,đã có sổ,5.0,5.0
Căn hộ/Chung cư,86,11000000,Hà Nội,sổ hồng riêng,2.0,2.0
Nhà ở,81,8900000000,Hà Nội,đã có sổ,4.0,4.0
Căn hộ/Chung cư,74,6350000000,Hà Nội,đang chờ sổ,2.0,1.0
Nhà ở,77,2200000000,Hà Nội,chưa rõ,2.0,3.0
Nhà ở,129,6500000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,122,5300000000,Hà Nội,đã có sổ,4.0,3.0
Căn hộ/Chung cư,80,3200000000,Hà Nội,sổ hồng riêng,2.0,1.0
Nhà ở,75,8150000000,Hà Nội,đã có sổ,3.0,4.0
Căn hộ/Chung cư,86,3300000000,Hà Nội,sổ hồng riêng,2.0,1.0
Nhà ở,77,6200000000,Hà Nội,đã có sổ,3.0,3.0
Nhà ở,121,5900000000,Hà Nội,đã có sổ,4.0,4.0
Căn hộ/Chung cư,123,3620000000,Hà Nội,sổ hồng riêng,2.0,1.0
Nhà ở,75,40000000000,Hà Nội,đã có sổ,9.0,7.0
Nhà ở,77,19700000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,75,7200000000,Hà Nội,đã có sổ,4.0,2.0
Nhà ở,86,6900000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,78,19000000000,Hà Nội,đã có sổ,4.0,3.0
Căn hộ/Chung cư,129,4200000,Hà Nội,không có sổ,1.0,1.0
Nhà ở,81,14300000000,Hà Nội,đã có sổ,5.0,3.0
Nhà ở,76,6200000000,Hà Nội,đã có sổ,2.0,3.0
Nhà ở,75,6980000000,Hà Nội,đã có sổ,3.0,3.0
Căn hộ/Chung cư,121,4350000000,Hà Nội,sổ hồng riêng,2.0,2.0
Căn hộ/Chung cư,79,6500000,Hà Nội,không có sổ,1.0,1.0
Nhà ở,74,26000000000,Hà Nội,đã có sổ,8.0,5.0
Nhà ở,76,30000000,Hà Nội,đã có sổ,6.0,1.0
Nhà ở,76,14000000,Hà Nội,đã có sổ,3.0,4.0
Căn hộ/Chung cư,75,7400000000,Hà Nội,chưa rõ,2.0,2.0
Căn hộ/Chung cư,74,6500000,Hà Nội,không có sổ,1.0,1.0
Nhà ở,80,6480000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,79,42000000000,Hà Nội,đã có sổ,5.0,5.0
Nhà ở,78,7600000000,Hà Nội,đã có sổ,3.0,5.0
Căn hộ/Chung cư,78,7200000,Hà Nội,không có sổ,1.0,1.0
Nhà ở,74,67900000000,Hà Nội,đã có sổ,8.0,7.0
Căn hộ/Chung cư,77,1550000000,Hà Nội,sổ hồng riêng,2.0,2.0
Nhà ở,86,23000000000,Hà Nội,đã có sổ,6.0,6.0
Nhà ở,78,13000000000,Hà Nội,đã có sổ,8.0,3.0
Căn hộ/Chung cư,86,5600000000,Hà Nội,sổ hồng riêng,3.0,2.0
Căn hộ/Chung cư,79,10500000000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,80,16800000000,Hà Nội,đã có sổ,11.0,7.0
Căn hộ/Chung cư,73,15000000,Hà Nội,sổ hồng riêng,2.0,1.0
Căn hộ/Chung cư,80,3950000000,Hà Nội,sổ hồng riêng,2.0,2.0
Nhà ở,77,15500000000,Phố Khương Hạ,đã có sổ,6.0,4.0
Nhà ở,89,4900000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,81,7000000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,79,25000000,Hà Nội,đã có sổ,5.0,5.0
Nhà ở,80,5500000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,81,16400000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,121,6500000000,Hà Nội,đã có sổ,4.0,4.0
Căn hộ/Chung cư,80,9500000000,Hà Nội,sổ hồng riêng,9.0,7.0
Căn hộ/Chung cư,75,2050000000,Hà Nội,sổ hồng riêng,2.0,2.0
Căn hộ/Chung cư,77,17200000000,Hà Nội,sổ hồng riêng,3.0,4.0
Căn hộ/Chung cư,121,24500000000,Hà Nội,đang chờ sổ,11.0,7.0
Nhà ở,86,7650000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,121,31500000000,Hà Nội,đã có sổ,6.0,6.0
Nhà ở,78,4000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,129,2700000,Hà Nội,đang chờ sổ,1.0,1.0
Nhà ở,80,4950000000,Hà Nội,không có sổ,4.0,3.0
Nhà ở,121,5500000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,121,10600000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,78,8500000000,Hà Nội,đã có sổ,5.0,4.0
Nhà ở,81,19400000000,Hà Nội,đã có sổ,10.0,6.0
Căn hộ/Chung cư,77,4850000000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,79,53000000000,Hà Nội,đã có sổ,4.0,5.0
Nhà ở,74,10200000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,79,46000000000,Hà Nội,đã có sổ,5.0,5.0
Căn hộ/Chung cư,86,11500000,Hà Nội,sổ hồng riêng,1.0,1.0
Nhà ở,84,4250000000,Hà Nội,đã có sổ,3.0,2.0
Nhà ở,75,19800000000,Hà Nội,đã có sổ,5.0,5.0
Căn hộ/Chung cư,78,7500000,Hà Nội,không có sổ,1.0,1.0
Nhà ở,75,4800000000,Hà Nội,đã có sổ,3.0,3.0
Nhà ở,121,8400000000,Hà Nội,đã có sổ,7.0,6.0
Căn hộ/Chung cư,79,15000000000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,77,16000000000,Hà Nội,đã có sổ,11.0,7.0
Nhà ở,81,38000000000,Hà Nội,đã có sổ,4.0,3.0
Căn hộ/Chung cư,78,9000000,Hà Nội,không có sổ,1.0,1.0
Nhà ở,129,3500000,Hà Nội,đã có sổ,1.0,1.0
Nhà ở,121,5600000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,78,9000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,77,7500000000,Hà Nội,đã có sổ,6.0,5.0
Nhà ở,121,8900000000,Hà Nội,đã có sổ,4.0,5.0
Nhà ở,77,7950000000,Hà Nội,đã có sổ,3.0,4.0
Căn hộ/Chung cư,121,3349999999,Hà Nội,sổ hồng riêng,2.0,2.0
Nhà ở,80,7800000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,75,21000000000,Hà Nội,đã có sổ,6.0,6.0
Nhà ở,86,30000000000,Hà Nội,đã có sổ,6.0,6.0
Căn hộ/Chung cư,78,8500000,Hà Nội,không có sổ,1.0,1.0
Căn hộ/Chung cư,74,5900000,Hà Nội,không có sổ,1.0,1.0
Nhà ở,81,18800000000,Hà Nội,đã có sổ,3.0,2.0
Căn hộ/Chung cư,77,2650000000,Hà Nội,sổ hồng riêng,3.0,2.0
Căn hộ/Chung cư,123,4300000000,Hà Nội,sổ hồng riêng,2.0,2.0
Nhà ở,75,5980000000,Hà Nội,đã có sổ,4.0,5.0
Căn hộ/Chung cư,86,3550000,Hà Nội,chưa rõ,1.0,1.0
Nhà ở,80,1630000000,Hà Nội,chưa rõ,2.0,1.0
Nhà ở,121,8700000000,Hà Nội,đã có sổ,9.0,5.0
Căn hộ/Chung cư,86,14500000,Hà Nội,sổ hồng riêng,3.0,2.0
Căn hộ/Chung cư,76,3930000000,Hà Nội,sổ hồng riêng,2.0,1.0
Nhà ở,129,15600000000,Hà Nội,đã có sổ,6.0,3.0
Căn hộ/Chung cư,80,750000000,Hà Nội,sổ hồng riêng,2.0,1.0
Nhà ở,82,2500000,Hà Nội,đã có sổ,1.0,1.0
Nhà ở,79,5555555555,Hà Nội,không có sổ,4.0,3.0
Nhà ở,77,7090000000,Hà Nội,đã có sổ,4.0,4.0
Căn hộ/Chung cư,76,910000000,Hà Nội,sổ hồng riêng,2.0,1.0
Căn hộ/Chung cư,80,2750000000,Hà Nội,sổ hồng riêng,2.0,1.0
Nhà ở,121,17300000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,81,30000000000,Hà Nội,đã có sổ,2.0,2.0
Nhà ở,80,13500000,Phố Định Công Thượng,đã có sổ,4.0,4.0
Nhà ở,86,5800000000,Hà Nội,đã có sổ,3.0,3.0
Nhà ở,81,6500000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,77,2750000000,Hà Nội,chưa rõ,2.0,2.0
Nhà ở,75,6500000,Hà Nội,đã có sổ,1.0,1.0
Nhà ở,78,6700000000,Hà Nội,đã có sổ,3.0,3.0
Nhà ở,129,70000000000,Hà Nội,đã có sổ,8.0,7.0
Nhà ở,79,87000000000,Hà Nội,đã có sổ,9.0,7.0
Căn hộ/Chung cư,121,750000000,Hà Nội,chưa rõ,2.0,1.0
Nhà ở,76,12000000000,Hà Nội,đã có sổ,11.0,7.0
Nhà ở,74,8300000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,86,9300000000,Hà Nội,đã có sổ,2.0,1.0
Nhà ở,79,12500000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,79,9900000000,Hà Nội,đã có sổ,4.0,5.0
Căn hộ/Chung cư,121,19000000,Hà Nội,không có sổ,3.0,2.0
Căn hộ/Chung cư,129,6800000000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,80,5500000000,Hà Nội,đã có sổ,2.0,3.0
Căn hộ/Chung cư,86,17000000,Hà Nội,sổ hồng riêng,3.0,2.0
Căn hộ/Chung cư,86,4950000000,Hà Nội,sổ hồng riêng,2.0,2.0
Nhà ở,76,10000000,Hà Nội,đã có sổ,4.0,3.0
Căn hộ/Chung cư,80,10000000,Hà Nội,sổ hồng riêng,2.0,2.0
Nhà ở,121,28000000000,Hà Nội,đã có sổ,4.0,5.0
Nhà ở,86,13800000000,Hà Nội,đã có sổ,4.0,4.0
Căn hộ/Chung cư,75,890000000,Hà Nội,sổ hồng riêng,2.0,1.0
Nhà ở,76,14450000000,Hà Nội,đã có sổ,3.0,4.0
Căn hộ/Chung cư,74,7150000000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,129,12600000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,75,7945000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,129,42900000000,Phạm Văn Đồng,đã có sổ,11.0,7.0
Nhà ở,121,10500000000,Hà Nội,đã có sổ,4.0,4.0
Căn hộ/Chung cư,86,7500000000,Hà Nội,sổ hồng riêng,3.0,2.0
Căn hộ/Chung cư,79,4600000,Hà Nội,sổ hồng riêng,1.0,1.0
Nhà ở,81,14200000000,Hà Nội,đã có sổ,3.0,5.0
Căn hộ/Chung cư,129,4250000,Hà Nội,chưa rõ,1.0,1.0
Căn hộ/Chung cư,76,4450000000,Hà Nội,sổ hồng riêng,3.0,2.0
Nhà ở,74,10500000000,Hà Nội,đã có sổ,5.0,4.0
Nhà ở,92,2650000000,Hà Nội,đã có sổ,3.0,3.0
Căn hộ/Chung cư,79,8000000,Hà Nội,không có sổ,2.0,2.0
Nhà ở,74,7500000000,Hà Nội,đã có sổ,3.0,4.0
Nhà ở,121,8000000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,121,33000000,Hà Nội,đã có sổ,5.0,5.0
Căn hộ/Chung cư,77,4600000000,Hà Nội,chưa rõ,2.0,1.0
Căn hộ/Chung cư,79,18000000,Hà Nội,đang chờ sổ,3.0,2.0
Căn hộ/Chung cư,123,4500000000,Hà Nội,sổ hồng riêng,2.0,2.0
Nhà ở,74,19900000000,Hà Nội,đã có sổ,6.0,7.0
Căn hộ/Chung cư,74,7500000,Hà Nội,không có sổ,1.0,1.0
Căn hộ/Chung cư,78,6000000,Hà Nội,không có sổ,1.0,1.0
Nhà ở,80,11000000000,Hà Nội,đã có sổ,4.0,3.0
Nhà ở,75,13950000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,77,7600000000,Hà Nội,đã có sổ,4.0,4.0
Nhà ở,77,24450000000,Hà Nội,đã có sổ,6.0,6.0
Nhà ở,129,8600000000,Hà Nội,đã có sổ,4.0,3.0
Căn hộ/Chung cư,123,3100000000,Hà Nội,sổ hồng riêng,1.0,1.0
Căn hộ/Chung cư,75,7350000000,Hà Nội,chưa rõ,2.0,2.0
Nhà ở,121,12558000000,Hà Nội,đã có sổ,5.0,5.0
